payment_id,client_id,provider_id,payment_date,amount,currency,status,failure_reason,created_at
PMT000028,C0104,P003,2025-12-23,12953.79,MXN,Successful,,2025-12-23T00:08:18
PMT000029,C0298,P005,2025-08-18,965.06,MXN,Pending,,2025-08-18T11:36:56
PMT000030,C0262,P012,2025-02-28,1039.33,MXN,Successful,,2025-02-28T10:21:58
PMT000031,C0300,P006,2025-08-15,379.93,USD,Successful,,2025-08-15T18:45:45
PMT000032,C0194,P014,2024-11-25,1580.32,MXN,Successful,,2024-11-25T03:53:03
PMT000033,C0419,P015,2025-05-12,125.57,MXN,Successful,,2025-05-12T20:25:08
PMT000034,C0073,P006,2025-05-01,1233.81,MXN,Successful,,2025-05-01T17:36:32
PMT000035,C0224,P002,2025-05-05,11631.01,MXN,Successful,,2025-05-05T18:30:24
PMT000036,C0362,P010,2025-01-16,102.08,MXN,Successful,,2025-01-16T19:49:48
PMT000037,C0439,P002,2024-12-11,2057.91,MXN,Successful,,2024-12-11T11:05:43
PMT000038,C0191,P010,2024-11-29,3466.04,USD,Successful,,2024-11-29T12:03:45
PMT000039,C0297,P015,2024-09-21,2053.69,MXN,Successful,,2024-09-21T16:19:01
PMT000040,C0031,P013,2025-02-08,1737.6,MXN,Successful,,2025-02-08T02:07:48
PMT000041,C0096,P009,2024-07-01,2456.94,MXN,Successful,,2024-07-01T15:44:36
PMT000042,C0031,P019,2026-01-08,2421.32,MXN,Successful,,2026-01-08T23:17:05
PMT000043,C0381,P002,2024-05-25,235.12,MXN,Successful,,2024-05-25T02:35:29
PMT000044,C0158,P018,2025-12-04,493.77,MXN,Successful,,2025-12-04T18:23:47
PMT000045,C0379,P017,2024-10-04,475.66,MXN,Failed,Network error,2024-10-04T13:27:48
PMT000046,C0030,P009,2025-12-11,1116.57,MXN,Pending,,2025-12-11T17:14:36
PMT000047,C0434,P003,2025-09-18,509.34,USD,Reversed,,2025-09-18T19:32:16
PMT000048,C0420,P003,2026-01-25,4786.3,USD,Successful,,2026-01-25T01:34:34
PMT000049,C0042,P019,2025-12-20,648.52,MXN,Successful,,2025-12-20T22:46:23
PMT000050,C0012,P005,2025-09-03,9492.83,MXN,Successful,,2025-09-03T05:14:14
PMT000051,C0023,P018,2024-07-26,9368.81,MXN,Successful,,2024-07-26T01:30:18
PMT000052,C0431,P010,2025-05-09,10197.69,MXN,Successful,,2025-05-09T16:53:27
PMT000053,C0132,P009,2024-12-04,3381.22,MXN,Successful,,2024-12-04T17:09:02
PMT000054,C0293,P013,2025-12-28,6762.02,MXN,Successful,,2025-12-28T10:49:00
PMT000055,C0224,P005,2025-12-21,5842.49,USD,Reversed,,2025-12-21T03:06:31
PMT000056,C0405,P009,2024-11-20,7820.67,MXN,Successful,,2024-11-20T15:15:44
PMT000057,C0254,P019,2025-08-11,512.32,MXN,Successful,,2025-08-11T21:02:37
PMT000058,C0263,P005,2024-12-04,88.81,MXN,Successful,,2024-12-04T07:14:48
PMT000059,C0342,P019,2025-08-16,5241.93,MXN,Successful,,2025-08-16T22:55:09
PMT000060,C0081,P020,2025-06-29,1315.99,MXN,Successful,,2025-06-29T01:52:54
PMT000061,C0420,P001,2025-04-09,3231.67,MXN,Successful,,2025-04-09T22:59:02
PMT000062,C0023,P012,2025-12-24,6100.54,MXN,Successful,,2025-12-24T19:30:10
PMT000063,C0246,P004,2024-10-08,721.6,MXN,Successful,,2024-10-08T22:31:35
PMT000064,C0447,P013,2025-11-12,6291.76,MXN,Successful,,2025-11-12T19:24:16
PMT000065,C0347,P020,2025-08-25,6707.21,USD,Successful,,2025-08-25T12:12:50
PMT000066,C0361,P019,2024-11-02,7460.42,MXN,Successful,,2024-11-02T15:58:13
PMT000067,C0143,P019,2025-01-24,9390.21,MXN,Successful,,2025-01-24T12:25:59
PMT000068,C0219,P005,2024-05-24,9713.97,USD,Successful,,2024-05-24T10:27:37
PMT000069,C0191,P012,2025-06-17,9548.2,MXN,Successful,,2025-06-17T07:06:15
PMT000070,C0275,P005,2025-12-29,436.81,MXN,Successful,,2025-12-29T01:20:00
PMT000071,C0238,P019,2024-07-02,762.78,MXN,Successful,,2024-07-02T17:59:25
PMT000072,C0178,P004,2024-07-12,14795.38,MXN,Successful,,2024-07-12T09:51:59
PMT000073,C0167,P003,2025-03-11,1069.6,MXN,Successful,,2025-03-11T14:34:35
PMT000074,C0137,P001,2024-11-02,4469.95,MXN,Successful,,2024-11-02T11:22:49
PMT000075,C0191,P004,2024-10-30,7135.45,USD,Successful,,2024-10-30T20:10:00
PMT000076,C0081,P004,2025-07-17,1301.1,MXN,Successful,,2025-07-17T01:03:59
PMT000077,C0441,P002,2025-01-15,693.53,MXN,Successful,,2025-01-15T22:05:21
PMT000078,C0320,P018,2025-12-07,11562.99,MXN,Successful,,2025-12-07T19:38:02
PMT000079,C0070,P016,2025-01-31,66.65,MXN,Successful,,2025-01-31T08:39:41
PMT000080,C0365,P005,2025-06-30,3934.4,MXN,Successful,,2025-06-30T02:56:44
PMT000081,C0426,P016,2025-01-04,597.16,MXN,Successful,,2025-01-04T10:34:27
PMT000082,C0132,P009,2024-10-15,12065.22,MXN,Successful,,2024-10-15T07:19:10
PMT000083,C0081,P016,2025-03-09,996.54,MXN,Successful,,2025-03-09T02:27:30
PMT000084,C0006,P007,2025-09-18,10691.5,MXN,Successful,,2025-09-18T22:35:56
PMT000085,C0022,P012,2026-02-22,453.35,MXN,Successful,,2026-02-22T22:54:38
PMT000086,C0389,P008,2024-05-03,411.14,MXN,Successful,,2024-05-03T07:40:17
PMT000087,C0324,P004,2025-04-25,171.78,MXN,Successful,,2025-04-25T00:47:46
PMT000088,C0021,P013,2025-07-15,2437.05,MXN,Successful,,2025-07-15T02:45:13
PMT000089,C0386,P016,2024-06-07,6189.38,MXN,Successful,,2024-06-07T07:12:41
PMT000090,C0032,P016,2025-11-29,3141.95,MXN,Successful,,2025-11-29T13:23:41
PMT000091,C0312,P007,2024-10-30,277.89,MXN,Successful,,2024-10-30T21:41:11
PMT000092,C0388,P010,2025-12-23,9854.18,MXN,Successful,,2025-12-23T05:54:30
PMT000093,C0189,P016,2025-05-12,496.09,MXN,Successful,,2025-05-12T21:50:14
PMT000094,C0006,P002,2024-07-26,2488.09,MXN,Successful,,2024-07-26T06:22:12
PMT000095,C0317,P002,2025-10-03,124.16,USD,Successful,,2025-10-03T05:00:50
PMT000096,C0390,P008,2024-07-30,2446.14,MXN,Successful,,2024-07-30T12:27:27
PMT000097,C0142,P005,2025-09-18,1197.1,USD,Successful,,2025-09-18T14:32:50
PMT000098,C0101,P008,2025-11-18,5108.22,MXN,Successful,,2025-11-18T03:55:05
PMT000099,C0061,P002,2025-05-30,2055.97,MXN,Successful,,2025-05-30T15:01:50
PMT000100,C0296,P013,2024-10-26,5442.6,MXN,Successful,,2024-10-26T18:28:48
PMT000101,C0319,P014,2025-02-07,120.33,MXN,Successful,,2025-02-07T10:16:25
PMT000102,C0405,P017,2025-04-23,3694.01,MXN,Successful,,2025-04-23T22:23:39
PMT000103,C0388,P014,2025-08-06,12238.12,MXN,Successful,,2025-08-06T09:28:15
PMT000104,C0448,P008,2025-07-14,457.99,MXN,Successful,,2025-07-14T06:24:08
PMT000105,C0410,P019,2025-01-07,1617.0,MXN,Successful,,2025-01-07T03:17:46
PMT000106,C0137,P015,2025-10-17,5316.42,USD,Successful,,2025-10-17T19:55:00
PMT000107,C0296,P011,2025-10-27,5275.22,USD,Successful,,2025-10-27T15:38:33
PMT000108,C0162,P004,2025-08-30,3012.82,MXN,Successful,,2025-08-30T12:47:17
PMT000109,C0178,P014,2024-10-27,7969.12,MXN,Successful,,2024-10-27T21:39:23
PMT000110,C0474,P013,2025-03-07,207.52,MXN,Successful,,2025-03-07T02:32:29
PMT000111,C0361,P014,2025-02-03,3940.81,MXN,Successful,,2025-02-03T16:25:20
PMT000112,C0120,P016,2025-11-22,398.33,MXN,Successful,,2025-11-22T23:54:35
PMT000113,C0219,P019,2025-11-18,1500.0,MXN,Successful,,2025-11-18T17:40:25
PMT000114,C0290,P020,2025-12-18,62.95,MXN,Successful,,2025-12-18T04:33:34
PMT000115,C0252,P013,2024-09-26,6926.48,MXN,Successful,,2024-09-26T07:15:16
PMT000116,C0053,P020,2025-10-10,289.29,MXN,Successful,,2025-10-10T20:44:04
PMT000117,C0132,P019,2025-12-20,8393.87,MXN,Successful,,2025-12-20T16:28:35
PMT000118,C0280,P001,2024-08-06,755.5,MXN,Pending,,2024-08-06T01:26:21
PMT000119,C0031,P014,2024-05-01,750.57,MXN,Successful,,2024-05-01T22:38:43
PMT000120,C0474,P004,2024-06-22,621.62,MXN,Successful,,2024-06-22T22:28:53
PMT000121,C0061,P006,2025-06-23,576.76,MXN,Successful,,2025-06-23T03:48:07
PMT000122,C0104,P006,2025-01-24,11722.13,MXN,Successful,,2025-01-24T21:36:02
PMT000123,C0394,P010,2024-08-28,1344.76,MXN,Successful,,2024-08-28T02:57:52
PMT000124,C0046,P001,2025-04-23,832.18,MXN,Successful,,2025-04-23T14:27:07
PMT000125,C0451,P005,2025-11-05,147.45,MXN,Successful,,2025-11-05T16:43:29
PMT000126,C0380,P001,2025-12-13,1417.28,MXN,Successful,,2025-12-13T02:42:45
PMT000127,C0031,P014,2025-10-13,4056.95,MXN,Reversed,,2025-10-13T11:37:15
PMT000128,C0364,P018,2025-12-28,203.23,MXN,Successful,,2025-12-28T21:52:46
PMT000129,C0336,P020,2025-06-22,3359.87,MXN,Successful,,2025-06-22T10:43:31
PMT000130,C0388,P009,2025-12-03,8327.0,MXN,Successful,,2025-12-03T10:05:03
PMT000131,C0420,P005,2025-01-21,4182.99,MXN,Successful,,2025-01-21T23:25:51
PMT000132,C0377,P018,2025-12-11,14728.31,MXN,Successful,,2025-12-11T13:21:36
PMT000133,C0306,P003,2026-01-03,60.0,MXN,Successful,,2026-01-03T19:08:36
PMT000134,C0174,P020,2025-08-22,3134.06,MXN,Successful,,2025-08-22T06:13:09
PMT000135,C0367,P015,2025-02-02,568.98,MXN,Successful,,2025-02-02T14:07:34
PMT000136,C0493,P010,2024-11-02,7825.21,MXN,Successful,,2024-11-02T12:35:54
PMT000137,C0308,P002,2024-11-27,1412.52,MXN,Successful,,2024-11-27T20:21:33
PMT000138,C0347,P001,2024-07-12,9953.13,MXN,Successful,,2024-07-12T03:54:17
PMT000139,C0226,P012,2024-05-07,3533.06,MXN,Successful,,2024-05-07T16:27:14
PMT000140,C0388,P008,2025-01-18,9004.56,MXN,Successful,,2025-01-18T13:54:34
PMT000141,C0463,P017,2024-05-03,4715.16,MXN,Pending,,2024-05-03T17:11:38
PMT000142,C0087,P014,2025-12-25,852.16,USD,Successful,,2025-12-25T04:14:18
PMT000143,C0104,P009,2025-07-25,6693.63,USD,Successful,,2025-07-25T10:02:44
PMT000144,C0291,P005,2025-12-07,1463.69,MXN,Successful,,2025-12-07T21:25:00
PMT000145,C0247,P010,2025-02-13,250.0,MXN,Successful,,2025-02-13T15:35:38
PMT000146,C0298,P004,2024-09-20,792.62,USD,Successful,,2024-09-20T15:09:51
PMT000147,C0023,P014,2024-11-07,2791.61,MXN,Successful,,2024-11-07T02:24:04
PMT000148,C0215,P013,2025-12-12,1122.79,MXN,Successful,,2025-12-12T06:48:08
PMT000149,C0305,P017,2024-07-04,915.04,MXN,Successful,,2024-07-04T20:29:12
PMT000150,C0305,P009,2025-09-01,1266.02,MXN,Successful,,2025-09-01T07:00:22
PMT000151,C0347,P006,2024-09-22,7435.8,MXN,Successful,,2024-09-22T03:46:46
PMT000152,C0377,P017,2024-12-11,8151.69,USD,Successful,,2024-12-11T15:34:20
PMT000153,C0340,P015,2024-04-03,12516.12,MXN,Successful,,2024-04-03T19:05:45
PMT000154,C0405,P015,2025-03-15,24548.79,MXN,Failed,Insufficient funds,2025-03-15T10:07:01
PMT000155,C0333,P011,2024-07-09,4795.72,MXN,Successful,,2024-07-09T09:20:37
PMT000156,C0290,P018,2025-12-15,761.22,MXN,Successful,,2025-12-15T16:37:52
PMT000157,C0320,P005,2024-06-16,16290.92,MXN,Successful,,2024-06-16T19:52:37
PMT000158,C0049,P008,2024-10-11,918.46,MXN,Successful,,2024-10-11T09:44:50
PMT000159,C0151,P017,2024-04-12,1477.79,MXN,Successful,,2024-04-12T02:36:26
PMT000160,C0279,P003,2026-03-27,1297.77,MXN,Successful,,2026-03-27T13:43:50
PMT000161,C0441,P017,2025-07-19,892.17,MXN,Successful,,2025-07-19T05:55:29
PMT000162,C0359,P007,2025-07-21,96.1,MXN,Successful,,2025-07-21T23:20:49
PMT000163,C0042,P003,2025-04-16,649.2,USD,Successful,,2025-04-16T04:13:11
PMT000164,C0312,P002,2025-12-19,236.67,MXN,Successful,,2025-12-19T08:15:03
PMT000165,C0118,P018,2024-07-21,498.6,MXN,Successful,,2024-07-21T19:01:47
PMT000166,C0382,P016,2025-11-09,5796.27,MXN,Successful,,2025-11-09T18:21:32
PMT000167,C0419,P006,2025-11-17,199.26,MXN,Successful,,2025-11-17T01:07:04
PMT000168,C0314,P003,2024-04-28,208.53,USD,Successful,,2024-04-28T22:32:07
PMT000169,C0310,P005,2024-07-12,137.2,MXN,Failed,Expired authorization,2024-07-12T20:43:03
PMT000170,C0179,P005,2025-05-08,964.92,MXN,Successful,,2025-05-08T18:09:51
PMT000171,C0229,P015,2024-06-10,1156.74,USD,Successful,,2024-06-10T00:06:58
PMT000172,C0435,P005,2024-11-03,124.83,MXN,Successful,,2024-11-03T13:31:26
PMT000173,C0378,P005,2025-01-09,196.93,MXN,Successful,,2025-01-09T05:21:24
PMT000174,C0275,P001,2024-07-30,2574.84,MXN,Successful,,2024-07-30T05:58:48
PMT000175,C0191,P013,2025-09-05,4621.15,MXN,Successful,,2025-09-05T22:50:26
PMT000176,C0023,P015,2025-03-28,5494.72,MXN,Successful,,2025-03-28T07:21:57
PMT000177,C0078,P014,2025-07-18,493.48,MXN,Successful,,2025-07-18T16:26:49
PMT000178,C0101,P012,2025-03-11,8581.09,MXN,Successful,,2025-03-11T03:45:53
PMT000179,C0192,P020,2025-01-17,131.96,MXN,Successful,,2025-01-17T00:09:57
PMT000180,C0485,P010,2025-03-26,149.31,MXN,Successful,,2025-03-26T17:09:20
PMT000181,C0265,P018,2026-01-06,7775.44,MXN,Successful,,2026-01-06T13:14:43
PMT000182,C0132,P014,2025-01-03,6219.8,MXN,Successful,,2025-01-03T07:15:02
PMT000183,C0052,P002,2025-07-20,586.35,MXN,Successful,,2025-07-20T10:59:31
PMT000184,C0179,P017,2025-12-02,1187.94,MXN,Successful,,2025-12-02T16:51:41
PMT000185,C0412,P013,2025-07-04,948.07,MXN,Successful,,2025-07-04T15:01:31
PMT000186,C0202,P014,2024-09-23,10256.12,MXN,Successful,,2024-09-23T02:30:08
PMT000187,C0400,P004,2024-07-04,593.98,MXN,Successful,,2024-07-04T14:12:14
PMT000188,C0410,P009,2025-06-11,3341.1,MXN,Successful,,2025-06-11T02:45:46
PMT000189,C0054,P018,2025-09-24,3626.85,MXN,Successful,,2025-09-24T05:49:19
PMT000190,C0325,P005,2025-10-25,657.77,MXN,Successful,,2025-10-25T23:33:15
PMT000191,C0495,P001,2025-08-28,661.92,MXN,Successful,,2025-08-28T09:29:11
PMT000192,C0214,P005,2024-04-03,757.07,MXN,Successful,,2024-04-03T19:54:19
PMT000193,C0023,P010,2025-10-29,11744.38,USD,Successful,,2025-10-29T19:34:18
PMT000194,C0466,P017,2025-06-22,2170.05,MXN,Successful,,2025-06-22T04:00:41
PMT000195,C0447,P014,2026-03-23,4550.45,MXN,Successful,,2026-03-23T04:55:37
PMT000196,C0276,P019,2025-10-22,469.42,MXN,Successful,,2025-10-22T16:57:45
PMT000197,C0296,P009,2025-02-01,1917.41,MXN,Successful,,2025-02-01T03:31:11
PMT000198,C0110,P008,2025-08-14,13542.97,MXN,Successful,,2025-08-14T10:31:30
PMT000199,C0414,P005,2025-07-01,1372.56,MXN,Successful,,2025-07-01T21:02:28
PMT000200,C0262,P005,2024-12-03,1129.77,MXN,Successful,,2024-12-03T06:09:29
PMT000201,C0013,P015,2025-04-27,554.9,MXN,Successful,,2025-04-27T08:40:03
PMT000202,C0361,P002,2024-09-05,8680.58,MXN,Successful,,2024-09-05T11:28:32
PMT000203,C0491,P005,2024-06-08,2347.7,MXN,Successful,,2024-06-08T16:31:48
PMT000204,C0420,P018,2025-09-29,12437.09,MXN,Failed,Provider timeout,2025-09-29T19:30:40
PMT000205,C0152,P012,2024-12-27,1754.94,MXN,Successful,,2024-12-27T08:46:17
PMT000206,C0023,P001,2025-10-15,3946.5,USD,Successful,,2025-10-15T01:20:16
PMT000207,C0480,P015,2025-03-23,82.22,MXN,Successful,,2025-03-23T05:35:29
PMT000208,C0479,P010,2025-11-19,3034.93,MXN,Successful,,2025-11-19T23:47:17
PMT000209,C0282,P018,2025-10-03,606.18,MXN,Successful,,2025-10-03T17:32:53
PMT000210,C0340,P014,2025-10-22,14355.01,MXN,Successful,,2025-10-22T22:38:23
PMT000211,C0238,P001,2025-01-31,3174.32,MXN,Successful,,2025-01-31T11:56:29
PMT000212,C0219,P004,2026-03-01,11916.45,MXN,Successful,,2026-03-01T18:29:51
PMT000213,C0057,P005,2025-01-10,121.15,MXN,Successful,,2025-01-10T19:07:24
PMT000214,C0046,P015,2025-11-10,1565.18,USD,Successful,,2025-11-10T12:35:45
PMT000215,C0132,P010,2025-03-24,6801.55,MXN,Successful,,2025-03-24T08:42:07
PMT000216,C0420,P016,2024-09-30,7567.11,MXN,Failed,Invalid account details,2024-09-30T23:01:39
PMT000217,C0080,P010,2025-07-10,1158.09,MXN,Successful,,2025-07-10T08:38:25
PMT000218,C0122,P007,2025-03-07,935.81,MXN,Successful,,2025-03-07T22:11:44
PMT000219,C0293,P002,2024-10-21,4720.22,MXN,Successful,,2024-10-21T12:36:41
PMT000220,C0110,P004,2024-12-26,4960.79,MXN,Successful,,2024-12-26T19:38:32
PMT000221,C0091,P008,2024-08-01,334.1,MXN,Pending,,2024-08-01T05:17:59
PMT000222,C0297,P012,2026-03-22,4197.26,MXN,Successful,,2026-03-22T23:37:52
PMT000223,C0191,P019,2025-07-21,9330.21,MXN,Pending,,2025-07-21T23:56:49
PMT000224,C0333,P005,2024-08-12,627.05,MXN,Successful,,2024-08-12T18:58:25
PMT000225,C0457,P014,2025-10-22,5722.6,USD,Successful,,2025-10-22T20:44:04
PMT000226,C0081,P003,2025-06-20,250.0,MXN,Successful,,2025-06-20T16:06:37
PMT000227,C0459,P015,2025-09-20,2179.57,MXN,Pending,,2025-09-20T06:32:30
PMT000228,C0456,P001,2025-06-06,204.88,MXN,Successful,,2025-06-06T15:51:57
PMT000229,C0420,P014,2024-05-17,4737.75,MXN,Failed,Provider timeout,2024-05-17T03:58:30
PMT000230,C0336,P004,2024-09-04,703.66,MXN,Successful,,2024-09-04T21:29:47
PMT000231,C0331,P004,2025-10-25,3015.7,MXN,Successful,,2025-10-25T03:26:45
PMT000232,C0340,P012,2025-10-15,4495.16,MXN,Successful,,2025-10-15T01:23:37
PMT000233,C0363,P008,2025-10-14,131.58,USD,Successful,,2025-10-14T05:56:08
PMT000234,C0006,P010,2024-04-12,7516.81,MXN,Successful,,2024-04-12T12:06:02
PMT000235,C0495,P006,2025-11-16,1832.74,MXN,Successful,,2025-11-16T10:34:29
PMT000236,C0305,P020,2025-02-09,1785.62,MXN,Successful,,2025-02-09T22:23:21
PMT000237,C0402,P006,2025-08-28,3719.66,MXN,Successful,,2025-08-28T17:43:48
PMT000238,C0194,P012,2024-10-27,1386.64,MXN,Successful,,2024-10-27T11:06:02
PMT000239,C0006,P018,2025-10-26,4472.35,MXN,Successful,,2025-10-26T20:35:21
PMT000240,C0265,P014,2026-03-18,8098.54,MXN,Successful,,2026-03-18T13:20:55
PMT000241,C0265,P007,2024-10-13,3996.97,MXN,Successful,,2024-10-13T22:24:37
PMT000242,C0226,P012,2025-11-04,2938.22,MXN,Successful,,2025-11-04T01:19:06
PMT000243,C0180,P002,2025-06-22,3356.54,MXN,Successful,,2025-06-22T23:14:58
PMT000244,C0137,P012,2024-10-28,8504.49,USD,Successful,,2024-10-28T18:31:02
PMT000245,C0279,P009,2024-11-09,737.3,MXN,Successful,,2024-11-09T12:17:59
PMT000246,C0194,P016,2025-09-28,1820.24,MXN,Successful,,2025-09-28T13:47:47
PMT000247,C0024,P018,2024-11-04,1930.0,MXN,Successful,,2024-11-04T08:52:20
PMT000248,C0098,P004,2024-05-07,113.44,MXN,Successful,,2024-05-07T09:22:51
PMT000249,C0174,P002,2025-12-22,4889.5,MXN,Successful,,2025-12-22T18:07:58
PMT000250,C0162,P008,2025-06-10,7985.13,MXN,Successful,,2025-06-10T01:59:16
PMT000251,C0293,P012,2025-10-17,2511.35,MXN,Successful,,2025-10-17T19:38:11
PMT000252,C0262,P008,2025-06-21,756.16,MXN,Successful,,2025-06-21T21:01:40
PMT000253,C0340,P013,2025-04-14,5136.34,MXN,Successful,,2025-04-14T06:36:55
PMT000254,C0491,P010,2025-10-26,1360.14,MXN,Successful,,2025-10-26T02:21:24
PMT000255,C0157,P019,2024-04-25,304.54,MXN,Successful,,2024-04-25T18:01:43
PMT000256,C0365,P008,2024-11-19,772.41,USD,Successful,,2024-11-19T10:43:12
PMT000257,C0012,P002,2025-07-09,6290.3,MXN,Successful,,2025-07-09T22:44:40
PMT000258,C0143,P006,2026-02-14,20914.23,MXN,Successful,,2026-02-14T13:27:24
PMT000259,C0238,P013,2025-01-01,698.1,MXN,Successful,,2025-01-01T08:09:53
PMT000260,C0012,P005,2026-03-12,7501.24,MXN,Successful,,2026-03-12T07:36:43
PMT000261,C0329,P006,2025-10-15,2362.23,MXN,Successful,,2025-10-15T05:56:41
PMT000262,C0357,P007,2025-03-20,838.53,MXN,Successful,,2025-03-20T04:47:09
PMT000263,C0386,P016,2025-01-31,13944.76,MXN,Successful,,2025-01-31T06:15:34
PMT000264,C0272,P019,2024-07-10,184.75,MXN,Successful,,2024-07-10T16:18:43
PMT000265,C0320,P007,2025-06-30,17849.57,MXN,Successful,,2025-06-30T19:14:11
PMT000266,C0211,P004,2024-05-11,1525.8,MXN,Successful,,2024-05-11T11:14:40
PMT000267,C0019,P009,2025-01-31,460.13,MXN,Successful,,2025-01-31T02:45:38
PMT000268,C0048,P007,2024-10-02,194.38,MXN,Successful,,2024-10-02T03:17:27
PMT000269,C0346,P020,2026-02-25,823.28,MXN,Successful,,2026-02-25T13:37:36
PMT000270,C0452,P009,2024-12-16,8436.23,MXN,Successful,,2024-12-16T06:35:16
PMT000271,C0006,P014,2025-03-24,8018.73,MXN,Successful,,2025-03-24T01:06:32
PMT000272,C0296,P019,2024-12-23,9352.52,MXN,Successful,,2024-12-23T12:10:12
PMT000273,C0387,P013,2024-07-16,2796.85,USD,Successful,,2024-07-16T02:01:59
PMT000274,C0419,P005,2024-12-11,180.43,MXN,Successful,,2024-12-11T22:50:31
PMT000275,C0293,P013,2025-11-01,7952.26,MXN,Successful,,2025-11-01T05:12:21
PMT000276,C0331,P008,2025-07-04,605.24,MXN,Successful,,2025-07-04T22:47:06
PMT000277,C0367,P009,2025-02-07,1149.42,MXN,Failed,Invalid account details,2025-02-07T17:55:27
PMT000278,C0431,P020,2025-11-25,2498.56,MXN,Successful,,2025-11-25T19:42:56
PMT000279,C0060,P006,2024-04-03,394.53,MXN,Successful,,2024-04-03T12:52:01
PMT000280,C0467,P009,2025-11-28,415.48,MXN,Successful,,2025-11-28T06:42:38
PMT000281,C0012,P004,2024-05-17,6596.68,USD,Successful,,2024-05-17T19:10:04
PMT000282,C0420,P004,2025-12-20,4504.57,MXN,Successful,,2025-12-20T21:36:58
PMT000283,C0032,P013,2026-02-17,6858.35,MXN,Successful,,2026-02-17T06:04:12
PMT000284,C0104,P016,2025-11-24,7740.86,MXN,Failed,Provider timeout,2025-11-24T11:23:02
PMT000285,C0002,P014,2024-04-15,139.28,MXN,Successful,,2024-04-15T03:32:31
PMT000286,C0227,P007,2025-04-21,81.94,MXN,Successful,,2025-04-21T18:19:28
PMT000287,C0178,P002,2025-11-29,11697.74,MXN,Successful,,2025-11-29T06:17:47
PMT000288,C0092,P009,2025-05-06,1065.36,MXN,Successful,,2025-05-06T19:04:56
PMT000289,C0234,P010,2024-12-15,434.25,MXN,Successful,,2024-12-15T06:40:56
PMT000290,C0214,P016,2025-03-08,349.45,MXN,Successful,,2025-03-08T22:37:10
PMT000291,C0395,P014,2024-06-03,141.92,MXN,Successful,,2024-06-03T15:43:53
PMT000292,C0448,P018,2025-03-29,797.11,MXN,Successful,,2025-03-29T16:10:37
PMT000293,C0344,P016,2024-04-22,125.59,MXN,Successful,,2024-04-22T20:50:58
PMT000294,C0061,P007,2025-07-21,772.04,USD,Successful,,2025-07-21T02:04:42
PMT000295,C0162,P013,2024-12-30,49436.61,MXN,Successful,,2024-12-30T03:23:11
PMT000296,C0458,P016,2024-08-26,679.79,MXN,Successful,,2024-08-26T12:04:51
PMT000297,C0042,P020,2024-04-14,1047.99,MXN,Successful,,2024-04-14T13:42:14
PMT000298,C0216,P009,2026-01-26,1259.82,MXN,Pending,,2026-01-26T12:40:25
